categoryType,categoryId,categoryValue,2025-08-27T07:00:00Z,2025-08-27T08:00:00Z,2025-08-27T09:00:00Z,2025-08-27T10:00:00Z,2025-08-27T11:00:00Z,2025-08-27T12:00:00Z,2025-08-27T13:00:00Z,2025-08-27T14:00:00Z,2025-08-27T15:00:00Z,2025-08-27T16:00:00Z,2025-08-27T17:00:00Z,2025-08-27T18:00:00Z,2025-08-27T19:00:00Z,2025-08-27T20:00:00Z,2025-08-27T21:00:00Z,2025-08-27T22:00:00Z,2025-08-27T23:00:00Z,2025-08-28T01:00:00Z,2025-08-28T03:00:00Z,2025-08-28T04:00:00Z,2025-08-28T05:00:00Z,2025-08-28T06:00:00Z,2025-08-28T07:00:00Z,2025-08-28T08:00:00Z,2025-08-28T09:00:00Z,2025-08-28T10:00:00Z,2025-08-28T11:00:00Z,2025-08-28T12:00:00Z,2025-08-28T13:00:00Z,2025-08-28T14:00:00Z,2025-08-28T15:00:00Z,2025-08-28T16:00:00Z,2025-08-28T17:00:00Z,2025-08-28T18:00:00Z,2025-08-28T19:00:00Z,2025-08-28T20:00:00Z,2025-08-28T21:00:00Z,2025-08-28T22:00:00Z,2025-08-28T23:00:00Z,2025-08-29T01:00:00Z,2025-08-29T03:00:00Z,2025-08-29T04:00:00Z,2025-08-29T05:00:00Z,2025-08-29T06:00:00Z,2025-08-29T07:00:00Z,2025-08-29T08:00:00Z,2025-08-29T09:00:00Z,2025-08-29T10:00:00Z,2025-08-29T11:00:00Z,2025-08-29T12:00:00Z,2025-08-29T13:00:00Z,2025-08-29T14:00:00Z,2025-08-29T15:00:00Z,2025-08-29T16:00:00Z,2025-08-29T17:00:00Z,2025-08-29T18:00:00Z,2025-08-29T19:00:00Z,2025-08-29T20:00:00Z,2025-08-29T21:00:00Z,2025-08-29T22:00:00Z,2025-08-29T23:00:00Z,2025-08-30T01:00:00Z,2025-08-30T02:00:00Z,2025-08-30T03:00:00Z,2025-08-30T04:00:00Z,2025-08-30T05:00:00Z,2025-08-30T06:00:00Z,2025-08-30T07:00:00Z,2025-08-30T08:00:00Z,2025-08-30T09:00:00Z,2025-08-30T10:00:00Z,2025-08-30T11:00:00Z,2025-08-30T12:00:00Z,2025-08-30T13:00:00Z,2025-08-30T14:00:00Z,2025-08-30T15:00:00Z,2025-08-30T16:00:00Z,2025-08-30T17:00:00Z,2025-08-30T18:00:00Z,2025-08-30T19:00:00Z,2025-08-30T20:00:00Z,2025-08-30T21:00:00Z,2025-08-30T22:00:00Z,2025-08-30T23:00:00Z,2025-08-31T01:00:00Z,2025-08-31T03:00:00Z,2025-08-31T04:00:00Z,2025-08-31T05:00:00Z,2025-08-31T06:00:00Z,2025-08-31T07:00:00Z,2025-08-31T08:00:00Z,2025-08-31T09:00:00Z,2025-08-31T10:00:00Z,2025-08-31T11:00:00Z,2025-08-31T12:00:00Z,2025-08-31T13:00:00Z,2025-08-31T14:00:00Z,2025-08-31T15:00:00Z,2025-08-31T16:00:00Z,2025-08-31T17:00:00Z,2025-08-31T18:00:00Z,2025-08-31T19:00:00Z,2025-08-31T20:00:00Z,2025-08-31T21:00:00Z,2025-08-31T22:00:00Z,2025-08-31T23:00:00Z,2025-09-01T01:00:00Z,2025-09-01T03:00:00Z,2025-09-01T04:00:00Z,2025-09-01T05:00:00Z,2025-09-01T06:00:00Z,2025-09-01T07:00:00Z,2025-09-01T08:00:00Z,2025-09-01T09:00:00Z,2025-09-01T10:00:00Z,2025-09-01T11:00:00Z,2025-09-01T12:00:00Z,2025-09-01T13:00:00Z,2025-09-01T14:00:00Z,2025-09-01T15:00:00Z,2025-09-01T16:00:00Z,2025-09-01T17:00:00Z,2025-09-01T18:00:00Z,2025-09-01T19:00:00Z,2025-09-01T20:00:00Z,2025-09-01T21:00:00Z,2025-09-01T22:00:00Z,2025-09-01T23:00:00Z,2025-09-02T01:00:00Z,2025-09-02T03:00:00Z,2025-09-02T04:00:00Z,2025-09-02T05:00:00Z,2025-09-02T06:00:00Z,2025-09-02T07:00:00Z,2025-09-02T08:00:00Z,2025-09-02T09:00:00Z,2025-09-02T10:00:00Z,2025-09-02T11:00:00Z,2025-09-02T12:00:00Z,2025-09-02T13:00:00Z,2025-09-02T14:00:00Z,2025-09-02T15:00:00Z,2025-09-02T16:00:00Z,2025-09-02T17:00:00Z,2025-09-02T18:00:00Z,2025-09-02T19:00:00Z,2025-09-02T20:00:00Z,2025-09-02T21:00:00Z,2025-09-02T22:00:00Z,2025-09-02T23:00:00Z,2025-09-03T01:00:00Z,2025-09-03T02:00:00Z,2025-09-03T03:00:00Z,2025-09-03T04:00:00Z,2025-09-03T05:00:00Z,2025-09-03T06:00:00Z,2025-09-03T07:00:00Z,2025-09-03T08:00:00Z,2025-09-03T09:00:00Z,2025-09-03T10:00:00Z,2025-09-03T11:00:00Z,2025-09-03T12:00:00Z,2025-09-03T13:00:00Z,2025-09-03T14:00:00Z,2025-09-03T15:00:00Z,2025-09-03T16:00:00Z,2025-09-03T17:00:00Z,2025-09-03T18:00:00Z,2025-09-03T19:00:00Z,2025-09-03T20:00:00Z,2025-09-03T21:00:00Z,2025-09-03T22:00:00Z,2025-09-03T23:00:00Z,2025-09-04T01:00:00Z,2025-09-04T02:00:00Z,2025-09-04T03:00:00Z,2025-09-04T04:00:00Z,2025-09-04T05:00:00Z,2025-09-04T06:00:00Z,2025-09-04T07:00:00Z,2025-09-04T08:00:00Z,2025-09-04T09:00:00Z,2025-09-04T10:00:00Z,2025-09-04T11:00:00Z,2025-09-04T12:00:00Z,2025-09-04T13:00:00Z,2025-09-04T14:00:00Z,2025-09-04T15:00:00Z,2025-09-04T16:00:00Z,2025-09-04T17:00:00Z,2025-09-04T18:00:00Z,2025-09-04T19:00:00Z,2025-09-04T20:00:00Z,2025-09-04T21:00:00Z,2025-09-04T22:00:00Z,2025-09-04T23:00:00Z,2025-09-05T01:00:00Z,2025-09-05T02:00:00Z,2025-09-05T03:00:00Z,2025-09-05T04:00:00Z,2025-09-05T05:00:00Z,2025-09-05T06:00:00Z,2025-09-05T07:00:00Z,2025-09-05T08:00:00Z,2025-09-05T09:00:00Z,2025-09-05T10:00:00Z,2025-09-05T11:00:00Z,2025-09-05T12:00:00Z,2025-09-05T13:00:00Z,2025-09-05T14:00:00Z,2025-09-05T15:00:00Z,2025-09-05T16:00:00Z,2025-09-05T17:00:00Z,2025-09-05T18:00:00Z,2025-09-05T19:00:00Z,2025-09-05T20:00:00Z,2025-09-05T21:00:00Z,2025-09-05T22:00:00Z,2025-09-05T23:00:00Z,2025-09-06T01:00:00Z,2025-09-06T02:00:00Z,2025-09-06T03:00:00Z,2025-09-06T04:00:00Z,2025-09-06T05:00:00Z,2025-09-06T06:00:00Z,2025-09-06T07:00:00Z,2025-09-06T08:00:00Z
ENTERTAINMENT,animation,애니메이션,,,,,,,,,,,,,,,,,,,,,,,,,,,2,39,42,,1904,2093,1939,19,17,,2,9,5,54,1307,1280,1256,1225,1253,1787,1628,1176,2840,2615,425,244,264,4254,4474,4505,4229,4326,4699,5389,6171,97,179,139,158,208,423,2996,2760,3544,2903,793,695,553,431,129,204,272,202,159,130,8,27,37,37,567,791,776,509,514,576,752,714,576,5178,5541,5710,6533,6059,248,330,45,11,12,15,11,28,18,29,18,31,57,36,52,93,13268,19030,19464,18334,11120,2936,2385,1275,1332,1196,1181,9,27,41,70,115,111,110,1505,2171,2041,2151,3684,10984,12699,13458,12142,1611,1333,1192,886,45,33,70,60,69,76,73,114,238,127,110,41,165,232,683,1283,1141,898,311,156,83,19,16,9,16,,14,13,247,255,273,405,1017,1061,1151,1110,1319,1863,1780,1353,1359,535,321,,,,,,,,,,,,,,,161,402,564,612,554,568,644,744,541,8,,3,,,,,,,,,,136,367,
ENTERTAINMENT,drama,드라마,243,190,333,241,214,210,209,207,179,175,171,204,165,142,185,174,160,226,257,311,185,204,291,230,299,177,187,236,151,208,180,201,262,181,181,223,173,160,193,238,337,199,247,258,285,236,239,243,170,173,223,188,216,226,143,161,128,106,133,161,147,167,297,214,263,207,189,202,192,161,189,158,307,199,171,181,188,175,168,161,98,163,200,164,236,271,247,223,222,236,214,204,175,218,237,124,137,183,178,169,162,248,157,157,156,161,133,166,235,201,292,238,284,267,266,252,192,260,266,191,170,157,158,131,90,133,127,142,160,227,225,243,168,259,208,254,255,234,228,210,201,171,191,163,129,148,116,169,188,144,196,217,278,211,162,190,203,206,219,212,219,236,212,212,193,153,173,124,141,148,140,196,137,178,265,214,209,255,124,271,180,261,147,204,178,166,161,124,154,142,145,140,113,130,140,101,166,203,207,222,209,196,216,183,223,208,173,151,206,89,186,124,140,172,158,150,154,159,169,154,287,242,226,158,227,260,165
ENTERTAINMENT,movie,영화,,,,14,18,,,,,,,,,,,,,,,,,,,,67,35,,,,,,,,,,,,,,,,,,,,,,,,32,37,,,,,,,,,,,,,,,,,,,,,17,28,26,52,40,,,,,,,,,8,,,,,,,,,,,,,,,7,7,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,13,3,4,,,,,,,,,,,,,,,,,56,92,40,,,,,,,,,,,,,,,,,183,7292,1931,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
ENTERTAINMENT,show,예능,2447,2007,1827,1988,2346,2075,2205,2162,2000,1987,1806,1630,1539,1451,1421,1389,1585,1964,1971,1581,1724,1896,1928,1776,1872,1842,1808,1706,1679,1564,1659,1491,1302,1213,1184,1199,1307,1573,1832,2251,2089,2060,2284,2591,2487,2645,2536,2079,2194,1390,1493,1825,1948,1768,1481,1388,1143,1059,1103,1153,1299,1827,2191,2013,2138,1984,1620,1600,1505,1704,1867,1426,1558,1401,1435,1372,1336,1157,1137,999,913,1035,1151,1403,2090,3394,3897,3745,2924,2520,2423,2037,2041,2097,1996,1964,1821,1586,1412,1193,1124,1169,1144,1330,1450,1618,1632,2050,2153,2370,2553,2383,2397,2570,2685,2329,2300,2225,2040,1737,1784,1671,1451,1377,1226,1204,1274,1421,1786,2101,2069,1972,1903,1701,1891,2120,2165,2080,1887,1868,1680,1484,1418,1176,1225,1151,1170,1201,1264,1358,1761,1899,1943,1997,1993,1855,1803,1651,2801,1642,1638,1854,1841,1915,1528,1424,1318,1203,1181,1138,1310,1375,1402,1774,1790,1929,2002,1824,1809,1597,1499,1764,1896,1744,1747,1727,1616,1481,1292,1236,1189,1115,1287,1004,989,975,1736,1961,2029,2299,2674,2864,2347,2007,2553,1862,1779,1948,1903,2140,2089,6543,5728,2377,1944,1872,1920,2174,2479,2939,3552,3564,3565,3505,3004,2801,2733
ETC,art,그림/아트,706,640,697,854,873,940,1101,883,756,582,477,211,206,72,109,54,76,221,348,288,335,346,352,365,384,561,653,833,1026,876,739,640,411,390,243,123,59,66,124,219,464,906,1964,2398,2374,2623,2530,2822,492,825,700,770,758,480,477,348,193,144,71,55,75,158,216,226,375,345,453,499,418,447,590,638,1380,1281,1279,792,546,481,352,176,88,55,42,52,116,195,209,344,385,408,1298,1410,1454,1578,1976,2064,1002,460,506,290,192,158,82,43,53,47,300,560,492,629,588,578,833,614,612,689,725,704,568,494,361,325,334,298,235,175,126,92,204,327,393,380,413,459,734,633,817,827,1058,797,879,511,465,285,199,170,96,60,54,124,291,357,375,451,614,598,560,528,664,737,811,992,936,698,582,477,418,238,225,159,153,109,112,136,214,219,293,442,467,715,411,455,508,637,823,765,1046,744,566,442,311,202,160,77,81,90,117,271,321,368,489,550,642,663,673,534,730,803,1026,1015,749,480,430,279,183,140,63,71,79,59,207,226,364,405,418,409,544
ETC,asmr,ASMR,1,0,62,2,21,256,646,738,729,575,629,70,20,21,25,29,19,22,5,4,4,3,2,4,2,1,,140,766,2101,2039,1621,961,1128,27,13,18,12,11,0,3,2,2,2,2,1,1,1,13,42,171,599,1267,2005,1169,1605,141,9,10,13,12,3,1,2,2,1,0,1,0,1,1,2,26,50,972,2085,3159,3716,540,247,9,12,14,13,1,1,35,29,64,103,2,3,1,0,0,205,306,520,705,310,17,24,21,4,20,8,3,3,,2,2,1,2,,,4,100,266,289,743,1028,1154,291,5,8,5,13,,3,3,4,3,3,5,2,2,2,15,78,466,717,1616,315,56,10,9,7,6,7,,5,,,,,,,1,2,2,39,173,512,1290,1473,1666,1424,205,160,22,19,17,10,67,7,11,5,5,3,4,1,2,0,5,70,1278,1822,2329,808,506,270,43,9,12,0,11,8,6,5,3,5,4,3,7,4,1544,2306,295,327,570,948,588,470,,17,7,7,4,4,7,3,4,4,3,3,3,3
ETC,health,운동/건강,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0,,,,,,,,,,,5,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,282,323,322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETC,mukbang,먹방/쿡방,831,9,0,0,5,24,5,137,116,12,5,21,6,,,,,,1,,105,,,,145,1164,9542,11350,4174,2731,6,466,597,,,,770,23,,,1109,200,10,0,15,12,6,4,192,334,422,10,4,3,5,0,0,3,18,22,20,,22,24,35,24,1502,0,5,0,769,832,288,319,13,15,8,6,35,0,0,16,1252,1,,552,457,0,236,2966,29,47,64,256,54,83,54,53,11,4,0,0,0,0,0,0,1,422,456,508,397,398,0,0,0,1,14,179,273,10,4,5,4,0,8,0,0,0,0,0,1,0,0,0,0,8,100,286,40,619,18,15,10,6,1153,6,,,,,,440,17,16,373,184,,5,,1,1,0,4,5,4,3,3,4,714,,,,,,12,67,30,122,66,,2637,3800,4380,9,31,,6,5,4,10,29,1173,3,,,,,11,14,15,22,,8,,259,8,18,5,7,83,146,14,21,12,4,2,15,27,,,9,255,331,5,26,21,22
ETC,music,음악/노래,1036,1876,1274,3736,8725,6536,9997,6321,7353,4223,3407,2145,943,396,235,286,313,480,362,438,339,328,424,609,674,643,4746,4152,8281,9082,3523,1408,742,488,475,518,269,265,439,563,433,453,682,906,638,869,619,1067,1817,1232,1706,1708,1819,1577,1175,659,363,275,149,189,215,757,1864,11418,15177,14392,1027,1477,2213,3341,4760,4872,5570,6102,3923,2944,3029,1177,969,867,656,347,266,328,650,1171,1635,2495,2117,2360,2325,3597,6526,6375,4576,4542,2620,2662,1468,536,363,239,158,114,304,421,395,565,635,400,323,328,272,397,733,4262,3765,1658,1564,1278,982,1224,1046,984,889,609,514,652,707,797,550,780,947,441,603,716,949,1787,1917,2904,1684,1272,1148,899,688,726,181,233,366,510,364,497,1542,1995,743,732,646,530,3054,1033,1184,2612,1366,2411,1309,1005,5204,472,187,226,303,385,432,634,962,1162,1273,791,765,1018,1458,3731,3177,3302,7200,4240,3314,2201,4892,934,785,250,269,161,261,457,634,741,629,1124,1101,1004,795,1223,1130,1149,2223,2373,5708,7700,8468,6311,1966,1831,1514,1294,1142,155,257,499,304,562,654,844,938,1057,1232
ETC,news,시사/경제,0,0,0,16,20,7,7,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,22,4,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5,4,2,1,1,0,0,15,17,16,13,,,,,,,,,,,,0,,0,,,0,0,20,17,19,3,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,27,18,20,5,0,0,0,0,,,,,,,,,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,,,,0,0,0,0,0,0,1,0,,,8,,5,4,3,0,0,0,0,0,,,,,,,,,,,,
