categoryType,categoryId,categoryValue,2025-08-27T07:00:00Z,2025-08-27T08:00:00Z,2025-08-27T09:00:00Z,2025-08-27T10:00:00Z,2025-08-27T11:00:00Z,2025-08-27T12:00:00Z,2025-08-27T13:00:00Z,2025-08-27T14:00:00Z,2025-08-27T15:00:00Z,2025-08-27T16:00:00Z,2025-08-27T17:00:00Z,2025-08-27T18:00:00Z,2025-08-27T19:00:00Z,2025-08-27T20:00:00Z,2025-08-27T21:00:00Z,2025-08-27T22:00:00Z,2025-08-27T23:00:00Z,2025-08-28T01:00:00Z,2025-08-28T03:00:00Z,2025-08-28T04:00:00Z,2025-08-28T05:00:00Z,2025-08-28T06:00:00Z,2025-08-28T07:00:00Z,2025-08-28T08:00:00Z,2025-08-28T09:00:00Z,2025-08-28T10:00:00Z,2025-08-28T11:00:00Z,2025-08-28T12:00:00Z,2025-08-28T13:00:00Z,2025-08-28T14:00:00Z,2025-08-28T15:00:00Z,2025-08-28T16:00:00Z,2025-08-28T17:00:00Z,2025-08-28T18:00:00Z,2025-08-28T19:00:00Z,2025-08-28T20:00:00Z,2025-08-28T21:00:00Z,2025-08-28T22:00:00Z,2025-08-28T23:00:00Z,2025-08-29T01:00:00Z,2025-08-29T03:00:00Z,2025-08-29T04:00:00Z,2025-08-29T05:00:00Z,2025-08-29T06:00:00Z,2025-08-29T07:00:00Z,2025-08-29T08:00:00Z,2025-08-29T09:00:00Z,2025-08-29T10:00:00Z,2025-08-29T11:00:00Z,2025-08-29T12:00:00Z,2025-08-29T13:00:00Z,2025-08-29T14:00:00Z,2025-08-29T15:00:00Z,2025-08-29T16:00:00Z,2025-08-29T17:00:00Z,2025-08-29T18:00:00Z,2025-08-29T19:00:00Z,2025-08-29T20:00:00Z,2025-08-29T21:00:00Z,2025-08-29T22:00:00Z,2025-08-29T23:00:00Z,2025-08-30T01:00:00Z,2025-08-30T02:00:00Z,2025-08-30T03:00:00Z,2025-08-30T04:00:00Z,2025-08-30T05:00:00Z,2025-08-30T06:00:00Z,2025-08-30T07:00:00Z,2025-08-30T08:00:00Z,2025-08-30T09:00:00Z,2025-08-30T10:00:00Z,2025-08-30T11:00:00Z,2025-08-30T12:00:00Z,2025-08-30T13:00:00Z,2025-08-30T14:00:00Z,2025-08-30T15:00:00Z,2025-08-30T16:00:00Z,2025-08-30T17:00:00Z,2025-08-30T18:00:00Z,2025-08-30T19:00:00Z,2025-08-30T20:00:00Z,2025-08-30T21:00:00Z,2025-08-30T22:00:00Z,2025-08-30T23:00:00Z,2025-08-31T01:00:00Z,2025-08-31T03:00:00Z,2025-08-31T04:00:00Z,2025-08-31T05:00:00Z,2025-08-31T06:00:00Z,2025-08-31T07:00:00Z,2025-08-31T08:00:00Z,2025-08-31T09:00:00Z,2025-08-31T10:00:00Z,2025-08-31T11:00:00Z,2025-08-31T12:00:00Z,2025-08-31T13:00:00Z,2025-08-31T14:00:00Z,2025-08-31T15:00:00Z,2025-08-31T16:00:00Z,2025-08-31T17:00:00Z,2025-08-31T18:00:00Z,2025-08-31T19:00:00Z,2025-08-31T20:00:00Z,2025-08-31T21:00:00Z,2025-08-31T22:00:00Z,2025-08-31T23:00:00Z,2025-09-01T01:00:00Z,2025-09-01T03:00:00Z,2025-09-01T04:00:00Z,2025-09-01T05:00:00Z,2025-09-01T06:00:00Z,2025-09-01T07:00:00Z,2025-09-01T08:00:00Z,2025-09-01T09:00:00Z,2025-09-01T10:00:00Z,2025-09-01T11:00:00Z,2025-09-01T12:00:00Z
GAME,112_Operator,112 오퍼레이터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAME,428_Shibuya_Scramble,428 ~봉쇄된 시부야에서~,,,,,4,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAME,51_Worldwide_Games,세계 게임전집 51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAME,60_Seconds,60 세컨드!,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,9,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,,,,,,,,,
GAME,60_Seconds_Reatomized,60 세컨즈! 리아토마이즈드,,,,,,1,11,21,,,,,,,,,,,,,,,,,,,,4,11,10,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,6,,,,,,,,,,,,,,,,,,,,6
GAME,7_Days_to_Die,세븐 데이즈 투 다이,3,3,6,13,29,21,20,25,22,36,35,,6,,,,,,,,,,0,3,7,12,36,10,25,27,17,8,6,1,1,,,,,,,,,,2,,,2,18,29,220,228,215,220,200,194,189,168,179,188,236,257,293,259,230,131,3,3,5,5,8,29,63,158,165,214,223,227,230,240,283,250,264,311,426,,4,13,8,16,18,16,32,37,90,189,251,309,230,239,251,229,298,269,269,258,270,6,,,1,1,,,10,60,176
GAME,9Kings,나인 킹즈,0,1,1,,,,,1,1,,,,,,,,,,1,,,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,4,7,,,,,,,,,,,,,,,,4,3,2,2,2,2,2,,,,,,,,,,,,,1,1,1,3,1,
GAME,ABZU,압주,,,,,,,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAME,ACECRAFT,ACECRAFT,,,,,,,,,,,,,,,,,,,,,,5,9,,,,478,1037,,,,,108,,,,,,,,,,4,10,,,,,,,,,,,,,,,,,,,0,2,4,,,,,,,,,,,,,,,,,,,,,,,0,,1,0,,,,1,2,,,,,,,,,,,,,,6,5,6,,0,0,,
GAME,ACE_COMBAT7_SKIES_UNKNOWN_DE,에이스 컴뱃 7: 스카이즈 언노운 디럭스 에디션,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAME,ACE_COMBAT7_Skies_Unknown,에이스컴뱃 7: 스카이즈 언노운,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAME,AI_LIMIT,AI 리미트,0,0,1,1,2,2,0,0,,,,,,,,,,,,,,0,0,1,1,0,2,0,0,0,,,,,,,,,,,,,,,1,1,,,,9,13,15,17,7,7,0,,,,,,,1,1,,,,,,,,,1,1,8,8,8,7,8,,,,,,,,,,,,,,,,4,8,8,,,,,,,,,,,,,,,,,,,,
GAME,AI_The_Somnium_Files,AI: 솜니움 파일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,484,663,636,613,605,495,452,375,402,349,,,,,,,,,,,,,,398,711,634,614,596,580,493,396,361,,,,,,,,,,,,,,,,,,,,,,,16,28
GAME,ALBEDO_CHARTA,백야기담,,,,,,,,,5,9,5,11,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAME,ALTF4,ALTF4,,,,,,,1,0,0,3,,,,,,,,,,,,,,,,,21,45,3,3,2,2,2,5,,,,,,,,6,,,23,22,22,23,21,23,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAME,ANNO1800,아노 1800,28,5,15,18,18,7,9,,,,,,,,,,,4,4,5,4,6,,5,5,4,7,6,,,11,7,6,9,5,,,,,,,,2,5,4,6,6,5,7,9,9,8,11,9,,,,,,,,,,,,,,7,8,,,,7,10,5,,,,,,,,,,,,,,,,,,,,,,,4,7,8,6,5,4,,,,,,,5,8,9,,,,8,3
