category_no,category_name,view_cnt,fixed_tags,cate_img,captured_at_utc,platform
00130000,토크/캠방,35166,"['보라', '토크']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/7849670d90c7abaa8.png,2025-11-21T20:29:03+00:00,soop
00360126,아이온 2,12185,"['MMORPG', '모바일']",https://admin.img.sooplive.co.kr/category_img/2025/10/30/97126902f013585d2.jpg,2025-11-21T20:29:03+00:00,soop
00040066,PUBG: 배틀그라운드,3786,"['슈팅', '생존', '배틀로얄', 'FPS', 'TPS']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/5770670d90283ed1a.jpg,2025-11-21T20:29:03+00:00,soop
00040005,서든어택,1845,"['슈팅', 'FPS']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/7599670d901178533.jpg,2025-11-21T20:29:03+00:00,soop
00040019,리그 오브 레전드,1658,"['MOBA', '전략', '라이엇게임즈']",https://admin.img.sooplive.co.kr/category_img/2025/09/02/259768b67d0fe5e7b.png,2025-11-21T20:29:03+00:00,soop
00810000,버추얼,1616,['토크'],https://admin.img.sooplive.co.kr/category_img/2024/10/15/5706670d915d067cb.png,2025-11-21T20:29:03+00:00,soop
00740000,여행,969,['여행'],https://admin.img.sooplive.co.kr/category_img/2024/10/15/1663670d9158da437.png,2025-11-21T20:29:03+00:00,soop
00040001,스타크래프트,857,"['전략', '시뮬레이션', 'RTS']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/3568670d900e5fe3c.jpg,2025-11-21T20:29:03+00:00,soop
00030002,음악 스트리밍,822,['음악'],https://admin.img.sooplive.co.kr/category_img/2024/10/15/3063670d900a36b87.png,2025-11-21T20:29:03+00:00,soop
00040110,발로란트,686,"['슈팅', 'FPS', '액션', '라이엇게임즈']",https://admin.img.sooplive.co.kr/category_img/2025/03/06/404067c901f797bf2.jpg,2025-11-21T20:29:03+00:00,soop
00940012,슬기로운 감빵생활,589,"['드라마', '같이보기', '슬감빵']",https://admin.img.sooplive.co.kr/category_img/2025/11/10/633369116bf43f506.jpg,2025-11-21T20:29:03+00:00,soop
00020007,취미,572,['취미'],https://admin.img.sooplive.co.kr/category_img/2024/10/15/3781670d900509a1e.png,2025-11-21T20:29:03+00:00,soop
00030001,음악 라이브,411,['음악'],https://admin.img.sooplive.co.kr/category_img/2024/10/15/2787670d90092f65d.png,2025-11-21T20:29:03+00:00,soop
00040121,종합게임,359,['종합게임'],https://admin.img.sooplive.co.kr/category_img/2024/10/15/8693670d9053a5edd.jpg,2025-11-21T20:29:03+00:00,soop
00270006,암호화폐,315,"['금융', '거래', '주가']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/9526670d90dd73a35.png,2025-11-21T20:29:03+00:00,soop
00040032,메이플스토리,252,['MMORPG'],https://admin.img.sooplive.co.kr/category_img/2025/08/21/996768a67d34c9dc1.jpg,2025-11-21T20:29:03+00:00,soop
00590000,더빙/라디오,237,"['라디오', '더빙', 'ASMR']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/7489670d9152a3346.jpg,2025-11-21T20:29:03+00:00,soop
00040075,전략적 팀 전투,210,"['오토배틀러', '전략', '라이엇게임즈']",https://admin.img.sooplive.co.kr/category_img/2025/09/02/538468b6aac22b47e.png,2025-11-21T20:29:03+00:00,soop
00330000,먹방/쿡방,198,"['먹방', '쿡방']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/4487670d90e7c8791.png,2025-11-21T20:29:03+00:00,soop
00040070,FC 온라인,183,"['스포츠게임', '축구']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/9505670d902b5c773.jpg,2025-11-21T20:29:03+00:00,soop
