category_no,category_name,view_cnt,fixed_tags,cate_img,captured_at_utc,platform
40067,로스트아크,28155,['MMORPG'],https://admin.img.sooplive.co.kr/category_img/2025/08/20/320568a51ee91fd1a.jpg,2025-08-20T05:34:47.419402+00:00,soop
130000,토크/캠방,14863,"['보라', '토크']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/7849670d90c7abaa8.png,2025-08-20T05:34:47.419402+00:00,soop
740000,여행,11856,['여행'],https://admin.img.sooplive.co.kr/category_img/2024/10/15/1663670d9158da437.png,2025-08-20T05:34:47.419402+00:00,soop
40019,리그 오브 레전드,11833,"['MOBA', '전략', '라이엇게임즈']",https://admin.img.sooplive.co.kr/category_img/2025/05/07/9371681ab785e2e55.png,2025-08-20T05:34:47.419402+00:00,soop
40001,스타크래프트,9396,"['전략', '시뮬레이션', 'RTS']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/3568670d900e5fe3c.jpg,2025-08-20T05:34:47.419402+00:00,soop
810000,버추얼,3624,['토크'],https://admin.img.sooplive.co.kr/category_img/2024/10/15/5706670d915d067cb.png,2025-08-20T05:34:47.419402+00:00,soop
40005,서든어택,2505,"['슈팅', 'FPS']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/7599670d901178533.jpg,2025-08-20T05:34:47.419402+00:00,soop
40075,전략적 팀 전투,2079,"['오토배틀러', '전략', '라이엇게임즈']",https://admin.img.sooplive.co.kr/category_img/2025/04/02/714467eccbd1b9a62.jpg,2025-08-20T05:34:47.419402+00:00,soop
40066,PUBG: 배틀그라운드,1932,"['슈팅', '생존', '배틀로얄', 'FPS', 'TPS']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/5770670d90283ed1a.jpg,2025-08-20T05:34:47.419402+00:00,soop
30002,음악 스트리밍,1805,['음악'],https://admin.img.sooplive.co.kr/category_img/2024/10/15/3063670d900a36b87.png,2025-08-20T05:34:47.419402+00:00,soop
30001,음악 라이브,1592,['음악'],https://admin.img.sooplive.co.kr/category_img/2024/10/15/2787670d90092f65d.png,2025-08-20T05:34:47.419402+00:00,soop
350002,명탐정 코난,1302,"['명탐정코난', '코난', '애니', '같이보기']",https://admin.img.sooplive.co.kr/category_img/2025/08/18/140968a2c5b65b746.png,2025-08-20T05:34:47.419402+00:00,soop
720000,LCK,1252,['MOBA'],https://admin.img.sooplive.co.kr/category_img/2024/10/15/1707670d9156ca223.jpg,2025-08-20T05:34:47.419402+00:00,soop
40070,FC 온라인,1156,"['스포츠게임', '축구']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/9505670d902b5c773.jpg,2025-08-20T05:34:47.419402+00:00,soop
40032,메이플스토리,931,['MMORPG'],https://admin.img.sooplive.co.kr/category_img/2025/06/20/89826854bdc0c67aa.jpg,2025-08-20T05:34:47.419402+00:00,soop
940009,시그널,664,"['시그널', '드라마', '같이보기']",https://admin.img.sooplive.co.kr/category_img/2025/08/14/9725689d4b44b3d73.jpg,2025-08-20T05:34:47.419402+00:00,soop
40158,메이플스토리 월드,627,"['샌드박스', '플랫폼게임']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/3117670d9076deb54.png,2025-08-20T05:34:47.419402+00:00,soop
270006,암호화폐,532,"['금융', '거래', '주가']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/9526670d90dd73a35.png,2025-08-20T05:34:47.419402+00:00,soop
390024,YTN LIVE,520,"['뉴스', '시사', '사회', '정치']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/6437670d91462be63.jpg,2025-08-20T05:34:47.419402+00:00,soop
670000,낚시,458,['낚시'],https://admin.img.sooplive.co.kr/category_img/2024/10/15/4671670d9155c01c8.jpg,2025-08-20T05:34:47.419402+00:00,soop
40121,종합게임,392,['종합게임'],https://admin.img.sooplive.co.kr/category_img/2024/10/15/8693670d9053a5edd.jpg,2025-08-20T05:34:47.419402+00:00,soop
330000,먹방/쿡방,379,"['먹방', '쿡방']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/4487670d90e7c8791.png,2025-08-20T05:34:47.419402+00:00,soop
270008,주식,330,"['금융', '주가', '재테크']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/7917670d90df82772.png,2025-08-20T05:34:47.419402+00:00,soop
590000,더빙/라디오,291,"['라디오', '더빙', 'ASMR']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/7489670d9152a3346.jpg,2025-08-20T05:34:47.419402+00:00,soop
40017,마인크래프트,227,"['샌드박스', '시뮬레이션', '생존']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/9605670d9019ba18f.jpg,2025-08-20T05:34:47.419402+00:00,soop
350018,검정고무신,200,"['애니메이션', '만화', '추억', '고전']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/6524670d90ebf33ca.jpg,2025-08-20T05:34:47.419402+00:00,soop
40012,리니지,187,"['MMORPG', '어드벤처']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/7928670d90159966d.png,2025-08-20T05:34:47.419402+00:00,soop
570004,토크/분석,181,"['토크', '분석']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/3546670d914b6739d.jpg,2025-08-20T05:34:47.419402+00:00,soop
840001,아마 야구,178,"['야구', '유소년', '아마']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/4664670d915e101af.jpg,2025-08-20T05:34:47.419402+00:00,soop
40014,카트라이더: 드리프트,158,"['레이싱', '캐주얼']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/9968670d9016a0fce.jpg,2025-08-20T05:34:47.419402+00:00,soop
40015,아이온,151,"['MMORPG', '어드벤처']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/3287670d9017a8cc7.jpg,2025-08-20T05:34:47.419402+00:00,soop
40110,발로란트,139,"['슈팅', 'FPS', '액션', '라이엇게임즈']",https://admin.img.sooplive.co.kr/category_img/2025/03/06/404067c901f797bf2.jpg,2025-08-20T05:34:47.419402+00:00,soop
360113,마비노기 모바일,127,"['MMORPG', '모바일']",https://admin.img.sooplive.co.kr/category_img/2025/03/27/500367e4b6fc56852.jpg,2025-08-20T05:34:47.419402+00:00,soop
290007,경제,105,"['재테크', '부동산', '교양', '학습']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/5826670d90e5b7dd9.jpg,2025-08-20T05:34:47.419402+00:00,soop
20007,취미,91,['취미'],https://admin.img.sooplive.co.kr/category_img/2024/10/15/3781670d900509a1e.png,2025-08-20T05:34:47.419402+00:00,soop
20009,미술,84,['미술'],https://admin.img.sooplive.co.kr/category_img/2024/10/15/6346670d900612d0e.png,2025-08-20T05:34:47.419402+00:00,soop
40007,스페셜포스,82,"['슈팅', 'FPS']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/4863670d901280438.jpg,2025-08-20T05:34:47.419402+00:00,soop
580000,펫방,81,['펫방'],https://admin.img.sooplive.co.kr/category_img/2024/10/15/2985670d91519b52a.png,2025-08-20T05:34:47.419402+00:00,soop
360092,승리의 여신: 니케,69,"['모바일게임', '슈팅', 'TPS', 'RPG']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/1220670d91317019b.png,2025-08-20T05:34:47.419402+00:00,soop
270002,국내선물,61,['선물'],https://admin.img.sooplive.co.kr/category_img/2024/10/15/3315670d90d953dc2.jpg,2025-08-20T05:34:47.419402+00:00,soop
290006,종교,59,"['교양', '학습']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/3276670d90e4affa7.png,2025-08-20T05:34:47.419402+00:00,soop
40004,던전앤파이터,54,"['MMORPG', '벨트스크롤']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/1364670d90107069d.jpg,2025-08-20T05:34:47.419402+00:00,soop
390013,연합뉴스,51,"['뉴스', '시사', '사회', '정치']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/3848670d914523414.jpg,2025-08-20T05:34:47.419402+00:00,soop
40043,테일즈런너,50,"['레이싱', '액션', 'PC']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/6423670d90241b232.jpg,2025-08-20T05:34:47.419402+00:00,soop
40096,천하제일상 거상,48,"['MMORPG', 'PC']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/7422670d904320904.jpg,2025-08-20T05:34:47.419402+00:00,soop
570013,마인드 스포츠,43,['마인드스포츠'],https://admin.img.sooplive.co.kr/category_img/2024/10/28/9326671f2f742b593.jpg,2025-08-20T05:34:47.419402+00:00,soop
360022,리니지M,41,"['모바일게임', 'MMORPG']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/7235670d90fb93b70.jpg,2025-08-20T05:34:47.419402+00:00,soop
360003,모바일 종합게임,37,['모바일게임'],https://admin.img.sooplive.co.kr/category_img/2024/10/15/6098670d90f664702.jpg,2025-08-20T05:34:47.419402+00:00,soop
20011,운세,36,['운세'],https://admin.img.sooplive.co.kr/category_img/2024/10/15/8180670d90071d4a0.png,2025-08-20T05:34:47.419402+00:00,soop
40157,스트리트 파이터 6,27,"['격투', '액션']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/8639670d9075d48f9.jpg,2025-08-20T05:34:47.419402+00:00,soop
40008,레트로게임,23,['고전'],https://admin.img.sooplive.co.kr/category_img/2024/10/15/3029670d901388446.jpg,2025-08-20T05:34:47.419402+00:00,soop
