category_no,category_name,2025-08-26T11:00:00Z,2025-08-26T12:00:00Z,2025-08-26T13:00:00Z,2025-08-26T14:00:00Z,2025-08-26T15:00:00Z,2025-08-26T16:00:00Z,2025-08-26T17:00:00Z,2025-08-26T18:00:00Z,2025-08-26T19:00:00Z,2025-08-26T20:00:00Z,2025-08-26T21:00:00Z,2025-08-26T22:00:00Z,2025-08-26T23:00:00Z,2025-08-27T01:00:00Z,2025-08-27T03:00:00Z,2025-08-27T04:00:00Z,2025-08-27T05:00:00Z,2025-08-27T06:00:00Z,2025-08-27T07:00:00Z,2025-08-27T08:00:00Z,2025-08-27T09:00:00Z,2025-08-27T10:00:00Z,2025-08-27T11:00:00Z
00020006,뷰티,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,4,6,0,0,0,0
00020007,취미,293,1543,2437,2706,2536,2258,1954,597,849,735,54,78,63,254,413,476,579,622,458,573,561,269,402
00020009,미술,63,84,313,464,504,449,363,312,293,269,297,39,24,65,103,150,153,171,161,151,155,149,155
00020011,운세,69,121,148,155,166,108,59,35,35,16,19,9,8,24,48,40,46,45,37,24,21,51,48
00020012,숲토어,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00030001,음악 라이브,5138,4688,4159,3601,3220,2997,2408,1670,1526,168,146,143,82,137,278,708,903,1612,1652,1538,1262,1065,877
00030002,음악 스트리밍,1361,1266,1191,1026,866,825,789,748,741,750,811,1015,1227,1572,1625,1719,1791,1829,1825,1713,1616,1478,1382
00030003,노래방,1,11,6,4139,4408,3668,3120,0,0,2,0,0,0,2,0,2,9,8,0,0,1,0,0
00030005,X2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040001,스타크래프트,67679,42660,27345,28341,20607,17641,11690,8101,5666,814,556,338,689,3934,5273,7445,10559,14154,15108,20205,23148,47020,59166
00040002,워크래프트 III,174,368,380,316,48,24,39,1,0,0,0,0,0,0,0,10,18,25,26,32,20,30,30
00040004,던전앤파이터,68,98,101,100,109,122,101,44,28,26,22,19,13,16,31,44,41,46,42,23,32,40,56
00040005,서든어택,7341,9138,9472,8691,7162,5215,4235,2763,2120,1518,1098,851,696,1357,1529,1740,2207,2608,3137,3962,4646,5642,7244
00040007,스페셜포스,308,263,221,206,186,152,144,71,79,46,41,24,20,30,52,81,77,100,126,74,117,168,238
00040008,레트로게임,24,69,84,248,317,324,298,248,19,18,16,10,13,9,3,3,3,9,18,23,13,17,53
00040011,월드 오브 워크래프트,13,15,15,14,3,3,2,0,0,0,2,3,4,7,4,6,6,0,0,0,0,4,9
00040012,리니지,326,420,465,397,184,75,22,5,6,3,4,4,15,92,98,154,202,198,193,109,109,141,387
00040014,카트라이더: 드리프트,97,250,261,238,1068,861,690,616,32,28,22,23,30,35,58,56,65,60,59,102,43,73,143
00040015,아이온,314,312,301,341,339,294,172,156,154,131,123,102,45,18,70,153,184,194,202,133,137,177,206
00040016,스타크래프트 II,1,2,2,2,2,2,1,5,1,1,1,1,1,3,1,1,2,4,7,6,5,4,6
00040017,마인크래프트,17839,18342,19225,20078,18809,17751,15602,13006,12412,11091,12068,11804,12016,9703,12735,13789,13924,13711,12212,10575,9763,12213,17597
00040019,리그 오브 레전드,52695,98238,82036,69174,69699,55265,55690,27098,25866,23037,449,262,310,505,916,1340,3351,7632,17493,1757,3167,5258,26300
00040020,디아블로 III,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040022,블레이드 앤 소울,5,5,4,4,6,7,0,0,0,0,0,0,0,9,8,7,5,5,8,8,4,0,9
00040032,메이플스토리,3825,4692,5703,5863,5393,3925,2945,2684,1364,308,261,242,235,469,660,789,1447,1099,1549,1363,969,1357,1775
00040033,사이퍼즈,2,2,1,1,1,1,1,1,1,1,0,0,0,0,2,2,0,0,0,0,0,0,1
00040035,그랜드 테프트 오토 V,37677,39898,41503,43812,42371,32946,26220,16125,13546,5967,1913,348,109,2,0,0,0,268,723,1526,12505,18633,22571
00040039,하스스톤,4,9,10,12,10,9,2,0,0,1,1,0,0,0,0,1,1,0,1,1,2,5,4
00040040,마비노기,1,9,7,7,3,0,1,3,3,0,0,0,0,1,0,0,0,0,0,0,2,4,5
00040042,버블파이터,11,11,12,14,13,22,5,3,0,0,0,0,0,0,0,0,0,1,7,7,0,0,0
00040043,테일즈런너,48,133,197,292,301,248,188,55,21,15,6,4,0,12,12,0,6,2,12,29,27,40,52
00040050,히어로즈 오브 더 스톰,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4
00040061,철권 7,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040065,바람의나라,76,112,124,87,60,36,24,30,33,20,18,19,19,41,37,39,37,42,46,53,106,113,117
00040066,PUBG: 배틀그라운드,14330,18546,19496,18073,15134,12300,10497,7825,4701,3804,3786,3364,2862,622,323,864,1327,2008,2668,3721,5105,6961,10211
00040067,로스트아크,11661,10533,12407,14113,14137,14129,10508,1535,326,52,43,15,13,554,858,810,681,899,2173,7065,8323,9270,10658
00040069,포트나이트,6,3,2,0,1,1,0,0,0,0,0,0,174,0,0,1,1,1,0,0,0,0,0
00040070,FC 온라인,31155,26976,5761,4894,3827,860,680,352,295,187,126,66,83,358,508,589,596,1006,1112,1177,15631,24928,4712
00040073,Apex 레전드,2,24,14,25,20,2,3,2,0,0,0,0,0,1,4,5,4,4,4,3,3,2,3
00040074,패스 오브 엑자일,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040075,전략적 팀 전투,2914,2849,2947,3171,1962,2047,1971,1822,1669,52,45,44,14,525,921,2055,2832,2905,2656,2168,1916,1684,1895
00040076,오토 체스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040077,아크 서바이벌 이볼브드,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040078,카운터 스트라이크 2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00040079,다크에덴,3,6,4,4,0,6,4,6,5,5,5,7,4,4,4,4,3,1,5,4,6,0,6
00040080,데드 바이 데이라이트,3,4,2,0,10,10,8,0,6,6,7,0,0,0,0,0,2,,2,1,0,0,0
00040081,디아블로 II,124,143,126,131,121,90,58,55,25,16,6,9,18,44,44,28,29,32,16,21,47,47,93
00040082,도타2,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
