captured_at_utc,category_no,category_name,view_cnt
2025-08-20 06:00:00+00:00,20006,뷰티,0
2025-08-20 06:00:00+00:00,20007,취미,102
2025-08-20 06:00:00+00:00,20009,미술,101
2025-08-20 06:00:00+00:00,20011,운세,30
2025-08-20 06:00:00+00:00,20012,숲토어,0
2025-08-20 06:00:00+00:00,30001,음악 라이브,4354
2025-08-20 06:00:00+00:00,30002,음악 스트리밍,1734
2025-08-20 06:00:00+00:00,30003,노래방,0
2025-08-20 06:00:00+00:00,30005,X2,0
2025-08-20 06:00:00+00:00,40001,스타크래프트,8324
2025-08-20 06:00:00+00:00,40002,워크래프트 III,25
2025-08-20 06:00:00+00:00,40004,던전앤파이터,53
2025-08-20 06:00:00+00:00,40005,서든어택,2874
2025-08-20 06:00:00+00:00,40007,스페셜포스,91
2025-08-20 06:00:00+00:00,40008,레트로게임,34
2025-08-20 06:00:00+00:00,40011,월드 오브 워크래프트,0
2025-08-20 06:00:00+00:00,40012,리니지,124
2025-08-20 06:00:00+00:00,40014,카트라이더: 드리프트,173
2025-08-20 06:00:00+00:00,40015,아이온,158
2025-08-20 06:00:00+00:00,40016,스타크래프트 II,0
2025-08-20 06:00:00+00:00,40017,마인크래프트,265
2025-08-20 06:00:00+00:00,40019,리그 오브 레전드,7272
2025-08-20 06:00:00+00:00,40020,디아블로 III,0
2025-08-20 06:00:00+00:00,40022,블레이드 앤 소울,4
2025-08-20 06:00:00+00:00,40032,메이플스토리,1002
2025-08-20 06:00:00+00:00,40033,사이퍼즈,0
2025-08-20 06:00:00+00:00,40035,그랜드 테프트 오토 V,224
2025-08-20 06:00:00+00:00,40039,하스스톤,7
2025-08-20 06:00:00+00:00,40040,마비노기,0
2025-08-20 06:00:00+00:00,40042,버블파이터,0
2025-08-20 06:00:00+00:00,40043,테일즈런너,37
2025-08-20 06:00:00+00:00,40050,히어로즈 오브 더 스톰,1
2025-08-20 06:00:00+00:00,40061,철권 7,0
2025-08-20 06:00:00+00:00,40065,바람의나라,4
2025-08-20 06:00:00+00:00,40066,PUBG: 배틀그라운드,2439
2025-08-20 06:00:00+00:00,40067,로스트아크,27495
2025-08-20 06:00:00+00:00,40069,포트나이트,5
2025-08-20 06:00:00+00:00,40070,FC 온라인,1161
2025-08-20 06:00:00+00:00,40073,Apex 레전드,1
2025-08-20 06:00:00+00:00,40074,패스 오브 엑자일,0
2025-08-20 06:00:00+00:00,40075,전략적 팀 전투,2515
2025-08-20 06:00:00+00:00,40076,오토 체스,0
2025-08-20 06:00:00+00:00,40077,아크 서바이벌 이볼브드,0
2025-08-20 06:00:00+00:00,40078,카운터 스트라이크 2,0
2025-08-20 06:00:00+00:00,40079,다크에덴,0
2025-08-20 06:00:00+00:00,40080,데드 바이 데이라이트,12
2025-08-20 06:00:00+00:00,40081,디아블로 II,10
2025-08-20 06:00:00+00:00,40082,도타2,0
2025-08-20 06:00:00+00:00,40083,엘소드,0
2025-08-20 06:00:00+00:00,40085,프리스타일,15
2025-08-20 06:00:00+00:00,40086,겟앰프드,0
2025-08-20 06:00:00+00:00,40087,이카루스,0
2025-08-20 06:00:00+00:00,40088,마구마구,7
2025-08-20 06:00:00+00:00,40089,메이플스토리2,0
2025-08-20 06:00:00+00:00,40090,몬스터 헌터 월드: 아이스본,0
2025-08-20 06:00:00+00:00,40091,osu!,0
2025-08-20 06:00:00+00:00,40092,R2,1
2025-08-20 06:00:00+00:00,40093,라그나로크 온라인,0
2025-08-20 06:00:00+00:00,40094,톰 클랜시의 레인보우 식스 시즈,0
2025-08-20 06:00:00+00:00,40095,슬러거,0
2025-08-20 06:00:00+00:00,40096,천하제일상 거상,33
2025-08-20 06:00:00+00:00,40099,트리 오브 세이비어,0
2025-08-20 06:00:00+00:00,40102,월드 오브 탱크,3
2025-08-20 06:00:00+00:00,40103,레전드 오브 룬테라,0
2025-08-20 06:00:00+00:00,40105,검은사막,3
2025-08-20 06:00:00+00:00,40106,스컬: 더 히어로 슬레이어,0
2025-08-20 06:00:00+00:00,40107,이스케이프 프롬 타르코프,0
2025-08-20 06:00:00+00:00,40108,콜 오브 듀티,0
2025-08-20 06:00:00+00:00,40110,발로란트,194
2025-08-20 06:00:00+00:00,40111,모여봐요 동물의 숲,0
2025-08-20 06:00:00+00:00,40114,폴 가이즈,0
2025-08-20 06:00:00+00:00,40115,어몽 어스,0
2025-08-20 06:00:00+00:00,40116,헌터스 아레나: 레전드,0
2025-08-20 06:00:00+00:00,40117,포켓몬스터 스칼렛 · 바이올렛,0
2025-08-20 06:00:00+00:00,40119,사이버펑크 2077,0
2025-08-20 06:00:00+00:00,40120,이터널 리턴,0
2025-08-20 06:00:00+00:00,40121,종합게임,418
2025-08-20 06:00:00+00:00,40122,블레이드 어썰트,0
2025-08-20 06:00:00+00:00,40124,FIFA 23,0
2025-08-20 06:00:00+00:00,40126,아키에이지,0
2025-08-20 06:00:00+00:00,40127,커츠펠,0
2025-08-20 06:00:00+00:00,40128,오버워치 2,28
2025-08-20 06:00:00+00:00,40129,Football Manager 2024,8
2025-08-20 06:00:00+00:00,40131,VRChat,0
2025-08-20 06:00:00+00:00,40132,갓 오브 워 라그나로크,0
2025-08-20 06:00:00+00:00,40133,소닉 프론티어,0
2025-08-20 06:00:00+00:00,40134,페르소나 5 더 로열,0
2025-08-20 06:00:00+00:00,40135,eFootball 2024,0
2025-08-20 06:00:00+00:00,40136,칼리스토 프로토콜,0
2025-08-20 06:00:00+00:00,40137,유희왕 마스터 듀얼,0
2025-08-20 06:00:00+00:00,40138,데드 스페이스,0
2025-08-20 06:00:00+00:00,40139,용과 같이 유신! 극,1
2025-08-20 06:00:00+00:00,40140,와룡: 폴른 다이너스티,0
2025-08-20 06:00:00+00:00,40141,THE FINALS,0
2025-08-20 06:00:00+00:00,40142,프라시아 전기,0
2025-08-20 06:00:00+00:00,40143,디아블로 IV,0
2025-08-20 06:00:00+00:00,40144,스타워즈 제다이: 서바이버,0
2025-08-20 06:00:00+00:00,40145,아웃라스트 트라이얼,0
2025-08-20 06:00:00+00:00,40146,러스트,15
2025-08-20 06:00:00+00:00,40147,라쳇 & 클랭크: 리프트 어파트,0
2025-08-20 06:00:00+00:00,40148,발더스 게이트 3,0
2025-08-20 06:00:00+00:00,40149,이모탈스 오브 아베움,0
2025-08-20 06:00:00+00:00,40150,데스티니 가디언즈,0
2025-08-20 06:00:00+00:00,40151,P의 거짓,0
2025-08-20 06:00:00+00:00,40152,스톰 스트라이커,0
2025-08-20 06:00:00+00:00,40153,EA Sports FC 24,0
2025-08-20 06:00:00+00:00,40154,Only Climb: Better Together,0
2025-08-20 06:00:00+00:00,40155,앨런 웨이크 2,0
2025-08-20 06:00:00+00:00,40156,쓰론 앤 리버티,0
2025-08-20 06:00:00+00:00,40157,스트리트 파이터 6,44
2025-08-20 06:00:00+00:00,40158,메이플스토리 월드,641
2025-08-20 06:00:00+00:00,40159,다크 앤 다커,0
2025-08-20 06:00:00+00:00,40160,팰월드,0
2025-08-20 06:00:00+00:00,40161,용과 같이8,0
2025-08-20 06:00:00+00:00,40162,리썰 컴퍼니,0
2025-08-20 06:00:00+00:00,40163,철권 8,11
2025-08-20 06:00:00+00:00,40164,페르소나 3 리로드,0
2025-08-20 06:00:00+00:00,40165,그랑블루 판타지 Relink,0
2025-08-20 06:00:00+00:00,40166,파피 플레이타임,0
2025-08-20 06:00:00+00:00,40167,알투비트,0
2025-08-20 06:00:00+00:00,40168,더 킹 오브 파이터즈 98,0
2025-08-20 06:00:00+00:00,40169,더 킹 오브 파이터즈 2002,0
2025-08-20 06:00:00+00:00,40170,더 킹 오브 파이터즈 XV,0
2025-08-20 06:00:00+00:00,40171,스트리트 파이터 II,0
2025-08-20 06:00:00+00:00,40172,헬다이버즈 2,0
2025-08-20 06:00:00+00:00,40173,엘든 링,0
2025-08-20 06:00:00+00:00,40174,나이팅게일,0
2025-08-20 06:00:00+00:00,40175,크레이지 아케이드,11
2025-08-20 06:00:00+00:00,40176,발라트로,0
2025-08-20 06:00:00+00:00,40177,라스트 에포크,0
2025-08-20 06:00:00+00:00,40178,포 더 킹 II,0
2025-08-20 06:00:00+00:00,40179,로블록스,5
2025-08-20 06:00:00+00:00,40180,스플래툰 3,0
2025-08-20 06:00:00+00:00,40181,스펠렁키 2,0
2025-08-20 06:00:00+00:00,40182,데이 아 빌리언즈,0
