broad_no,broad_title,user_id,user_nick,view_cnt,broad_start,hash_tags,captured_at_utc,platform,category_no
287119248,"믹슈형본캐 폭풍현질!! 11강팩 1코인의기적받습니다!!!! 확률검증!! 벨로드,금강신,말키 FC온라인 피파4 마빡 /감컴",vbvb1230,마빡,380,2025-08-31 13:53:57.0,"['감스트', '뿌꾸', '피파4', '맨시티', '감컴']",2025-08-31T12:33:19Z,soop,00040070
287125618,엪온판 여캠대전 CK 으네 써니 라거머핀 은재 진자림 빅윈 피파4,dstv,빅윈,174,2025-08-31 17:50:17.0,"['빅윈', 'bj두치와뿌꾸', 'FC온라인']",2025-08-31T12:33:19Z,soop,00040070
287125378,토츠 레반 금카 팔아주실 분 찾습니다 Fc온라인 피파4,bxw0pal0,걍하리_,106,2025-08-31 17:40:30.0,"['fc온라인', '피파온라인', '피파4', '피파', '하리']",2025-08-31T12:33:19Z,soop,00040070
287133074,오늘은 스케줄 없으면 공식경기 좀 하다가 빠르게 퇴근하겠습니다  fc온라인 피파4,liyhs4689,제독신,86,2025-08-31 21:10:09.0,"['FC온라인', '제독신', '박준효', '피파온라인4', '피파4']",2025-08-31T12:33:19Z,soop,00040070
287129886,빅윈cK 중  방송 5주년 ♥ 항상 감사합니다 ♥ ,heesunn,S2써니,54,2025-08-31 19:55:58.0,"['피파4', '피파여캠', '써니', '신입여캠', '두치와뿌꾸']",2025-08-31T12:33:19Z,soop,00040070
287124258,인생 첫ck 맞고오겠슴돠  #51 [ 피파/FC온라인],aaa110011,U은재♡,52,2025-08-31 16:58:59.0,"['방셀', '고민상담', '역팬', '뽑기', '유은재']",2025-08-31T12:33:19Z,soop,00040070
287128362,빅윈님파비젼금CK,jinjalime,진자림!,48,2025-08-31 19:13:55.0,['댄스'],2025-08-31T12:33:19Z,soop,00040070
287128938,[스케줄ON]닉 해설 입니다 ㄱㄱ FC온라인 피파4 한승엽,imyooi,해설한승엽,46,2025-08-31 19:30:51.0,"['한승엽', '넥슨', 'fc온라인', '해설한승엽', '피파온라인']",2025-08-31T12:33:19Z,soop,00040070
287131546,빅윈 ck 써니야 안녕[[피파4: fc온라인],lalapin,라거머핀,40,2025-08-31 20:32:09.0,"['두치와뿌꾸', 'FC24', '피파4', 'FC온라인']",2025-08-31T12:33:19Z,soop,00040070
287122730,[으[ 으네임당 미니 여캠대전,seh0305,으-네,39,2025-08-31 16:03:39.0,"['피파4', '으네', 'fc온라인', '건강하시고', '행복하세요']",2025-08-31T12:33:19Z,soop,00040070
287133608,8월 마지막 같이 보내자.. 패드 9일차 피파4,hm05082,임유진.,39,2025-08-31 21:27:27.0,"['FC', '피파', '축구']",2025-08-31T12:33:19Z,soop,00040070
287132852,8월 마지막부터 정말 열 받네요 말씀 드리겠습니다 피파4,we9626,김찌롱.,37,2025-08-31 21:03:52.0,"['피파4', '항상', '감사합니다', '김찌롱']",2025-08-31T12:33:19Z,soop,00040070
287133504,현 3등 태연 공식경기 무패슈챔 1등 달리기 /// 팀평 피드백 맛집 ^ㅡ^,rudtlr94,-피파태연,33,2025-08-31 21:23:48.0,"['FC온라인', '피파온라인', '피파', '슈챔', '태연']",2025-08-31T12:33:19Z,soop,00040070
287132014,키리콩이 왔어요,bug204,키리콩_,28,2025-08-31 20:45:25.0,"['피파4', 'FC온라인', '피파']",2025-08-31T12:33:19Z,soop,00040070
287127784,[신입 187일] 모종이 잡으러 가즈아아아 N개빵 방대방 두과자!,lookinng,슈떼이,26,2025-08-31 18:59:46.0,"['피파', 'fc온라인', '뿌꾸', '신입', '빅윈']",2025-08-31T12:33:19Z,soop,00040070
287123310,"스케줄 받아요(팀리뷰,팀평,패키지)  피파4 ",ppooiiuumm,유태봉.,24,2025-08-31 16:26:09.0,"['피파', '피파4', '두치와뿌꾸', 'fc온라인', '감스트']",2025-08-31T12:33:19Z,soop,00040070
287127552,슈뗴이 vs 이게모종 숙명의 방대방 연패는 하지말자..키보드챔스 팀평무료 👍fc온라인 .피파 ,tmz0857,이게모종.,24,2025-08-31 18:54:03.0,"['신입', '피파', 'FC온라인', '말키', '마빡']",2025-08-31T12:33:19Z,soop,00040070
287075490,레전드방대방 3만개빵 지금 시작합니다 ㅎㅎ 레츠고 피파4 FC온라인,hehe9257,희윤94,22,2025-08-29 20:54:12.0,"['FC온라인', '피파', 'vlvk']",2025-08-31T12:33:19Z,soop,00040070
287101502,[노방종] 안녕하세요:-) 스케쥴받아연 FC온라인 피파4 제트디,cla0095,제트디♥,21,2025-08-30 19:58:18.0,"['제트디', '피파4', '피파온라인4', '축구', '두치와뿌꾸']",2025-08-31T12:33:19Z,soop,00040070
287114590,[●프로1부대장●] 썬글 빅윈님 응원할게요 :) 감사합니다 ㅋㅋㅋ 크게이기는 남자~~,dbej,유더,20,2025-08-31 09:09:16.0,"['FC온라인', '피파온라인', '피파', '축구', '시참']",2025-08-31T12:33:19Z,soop,00040070
287132736,[팀평무료] 8월 마지막 무료팀평! 키보드챔스 FC온라인 피파4,tjdghks9238,BJ돌하르박,18,2025-08-31 21:01:16.0,"['제주도', '두치와뿌꾸', '빅윈', 'FC온라인', '피파4']",2025-08-31T12:33:19Z,soop,00040070
287131470,뎡장,nawonjung97,나원뎡,18,2025-08-31 20:30:23.0,"['피파', '피파4']",2025-08-31T12:33:19Z,soop,00040070
287119144,슈챔 육성만 4명! 챔스 포화 상태! 티어 상승 일타강사,pronolbo,잘돼장,16,2025-08-31 13:49:58.0,"['FC온라인', '피드백', '팀리뷰', '팀평', '전술']",2025-08-31T12:33:19Z,soop,00040070
287117278,[400조 맨유] 피파하자!. 8시 방대방 출전!. 대낙중지.,vadia0317,루짱아,16,2025-08-31 12:18:05.0,[],2025-08-31T12:33:19Z,soop,00040070
287131968,내일은 없습니다❤️‍🔥/FC온라인 피파,gangstin,스틴.,15,2025-08-31 20:44:09.0,"['피파', 'FC온라인', '여캠', '소통', '두치와뿌꾸']",2025-08-31T12:33:19Z,soop,00040070
