broad_no,broad_title,user_id,user_nick,view_cnt,broad_start,hash_tags,captured_at_utc,platform,category_no
287742996,f1 연습,mygomiee,마이곰이_,958,2025-09-22 21:49:40.0,[],2025-09-22T18:28:17Z,soop,00810000
287745418,버컴 VS 감컴 ,danchu17,단츄♪,605,2025-09-22 23:01:28.0,"['버추얼', '버컴', '단코한끼']",2025-09-22T18:28:17Z,soop,00810000
287739036,🌹9시 [고래상사] 준코🌹,gyeonjahee,견자희,323,2025-09-22 20:14:39.0,"['견자희', '버육대']",2025-09-22T18:28:17Z,soop,00810000
287738114,후열 힐링,nanamoon777,나나문,239,2025-09-22 19:58:47.0,"['버츄얼', '노래', '섹시', '핫걸']",2025-09-22T18:28:17Z,soop,00810000
287748624,새벽 vr챗고민상담방,kwakchunshik,곽춘식_,175,2025-09-23 02:27:21.0,"['왁타버스', '우왁굳', '고정멤버', '곽춘식', '도방혀용']",2025-09-22T18:28:17Z,soop,00810000
287730136,[잔잔다키] 다키 코치의 버육대 뒤늦은 후기... :) (풀트컨텐츠 썰),yourdarky,다키_,152,2025-09-22 15:26:16.0,"['다키', '버추얼', '섹시', '풀트', '소통']",2025-09-22T18:28:17Z,soop,00810000
287732088,[도파민] 감컴vs버컴 스트님 맞밸 정글러 ^^,nmangoquince,망구랑,130,2025-09-22 17:01:11.0,"['버츄얼', '킹냥이', '캬앙', '도파민', '버컴']",2025-09-22T18:28:17Z,soop,00810000
287735736,숙제 그림 그리기~ (영풍 on),nagi0413,유나기,100,2025-09-22 19:00:15.0,"['버추얼', '노래', '토크', '신입', '플라티']",2025-09-22T18:28:17Z,soop,00810000
287738188,[조적단] LAC 구경하기,bb0rii,멍보리¿,90,2025-09-22 19:59:52.0,[],2025-09-22T18:28:17Z,soop,00810000
287743362,"노래 불러요 / 9월 방셀 룰렛 33개,330개 11연차",carrot99,하카츄,90,2025-09-22 22:00:13.0,"['버츄얼', '버추얼', '소통', '노래', 'asmr']",2025-09-22T18:28:17Z,soop,00810000
287746260,[솔랭] 발로란트 파트너: 잔잔💛,mongggee,박몽총,86,2025-09-22 23:38:43.0,"['버튜버', '버츄얼', 'ASMR', '잔잔', '힐링']",2025-09-22T18:28:17Z,soop,00810000
287728496,[일본인] 수힛 x 시로코 x 예나 | 수니그룹 버니문 💜,k0roshi,시로코♬,84,2025-09-22 14:00:25.0,"['일본인', '시로코', '노래', '수니그룹', '버니문']",2025-09-22T18:28:17Z,soop,00810000
287743128,[ASMR] 목소리 개좋음,hipiii,히피,71,2025-09-22 21:54:54.0,"['마병대3', '드롭스']",2025-09-22T18:28:17Z,soop,00810000
287731214,"후여르 브아걸 슛 w.오아,쪼이,파니,한아밍 [비정규직]",wellro314,김웰로,64,2025-09-22 16:22:32.0,"['김웰로', '버추얼', '종합게임']",2025-09-22T18:28:17Z,soop,00810000
287748470,[베이블루] 작명소,ausdurfurwpf,루첼_,63,2025-09-23 02:12:46.0,"['버츄얼', '뉴걸', '베이블루', '젊탱버', '마녀']",2025-09-22T18:28:17Z,soop,00810000
287740894,고독방송 좋아하는 오빵이들 ㄱㄱ[브이리지],vllagekanin,카닌ㆍ,63,2025-09-22 20:59:22.0,"['버추얼', '노래', '토크', '뉴걸', '이적생']",2025-09-22T18:28:17Z,soop,00810000
287740438,[고래상사] 후열 빵이봤 ㅉㄲㅁ,dmng50,빵땅콩,55,2025-09-22 20:48:55.0,"['버츄얼', '종합게임', '뉴걸', '고래상사']",2025-09-22T18:28:17Z,soop,00810000
287730948,"[습레기통] 4부 틀린그림찾기 (w.마늘빵,새마요,서라) I 마병대신청했습니다! 베스신청했습니다!",janine95kim,재닌,48,2025-09-22 16:08:37.0,"['버튜버', '뉴걸', '버른살', '습레기통']",2025-09-22T18:28:17Z,soop,00810000
287740732,[말티즈/고래상사] 고래상사 대망의 회식날,nunknown314,미현영♡,45,2025-09-22 20:56:10.0,"['미현영', '뉴걸', '신입', '말티즈', '고래상사']",2025-09-22T18:28:17Z,soop,00810000
287741270,【운영자API♥】 💎마친다 서버💎 OPEN ! 너무 떨려요...,rintube,나린인데?,44,2025-09-22 21:04:49.0,"['버츄얼', '뉴걸', '나린', '바오숲']",2025-09-22T18:28:17Z,soop,00810000
287740722,[고래상사] 후열 잔잔 소똥 / 준코 합방 노래 1등 감사합니다 후후,nlov555jij,삐요코,42,2025-09-22 20:55:54.0,"['뉴걸', '노래', '이적', '고래상사', '마병대']",2025-09-22T18:28:17Z,soop,00810000
287740654,[운영자 api] 마친다 서버 운영자 시점!! / 💙오피스 룩 방셀 44개/440(11연차)💙,a9268yqyf2p,몽들레♪,41,2025-09-22 20:54:33.0,"['버츄얼', '뉴걸', '노래', '소통', '버추얼']",2025-09-22T18:28:17Z,soop,00810000
287644752,후여루~ [꾸한성/종달새],land4968,야무지♪,40,2025-09-19 14:01:21.0,[],2025-09-22T18:28:17Z,soop,00810000
287728978,힘든 월요일이 지나갔습니다 🤍방셀33/330룰렛,mnomno55,루디딕,38,2025-09-22 14:27:45.0,"['버추얼', '뉴걸', '소통', '모비노기', '그린캠프']",2025-09-22T18:28:17Z,soop,00810000
287729602,헤헤,dduduji,두두지!,36,2025-09-22 15:00:10.0,"['버츄얼', '버튜버', '신입']",2025-09-22T18:28:17Z,soop,00810000
287735832,[고래상사]💙감자마렌은 겜진녀가 맞지~🐸,kimmaren77,김마렌,31,2025-09-22 19:01:05.0,"['종합게임', '깔깔마녀', '소통', '게임', '고래상사']",2025-09-22T18:28:17Z,soop,00810000
287735776,홍보이드 후열 소통소통🐱‍👤 [홍신소],sagesv,세이지.,31,2025-09-22 19:00:36.0,"['홍신소', '세이지', '소통', '종겜']",2025-09-22T18:28:17Z,soop,00810000
287739640,. . . ⸝ဗီူ⸜,chogeumbi,초금비,30,2025-09-22 20:29:05.0,"['소통', '노래', '지라삐', '뉴걸']",2025-09-22T18:28:17Z,soop,00810000
287728484,"🍞[습레기통] 습레기통 레전드 남량특집 공포탈출 (w. 새마요, 서라, 재닌) 🧡 33/330룰렛, 확정O",manlebreadtv,_마늘빵_,30,2025-09-22 14:00:10.0,"['버츄얼', '뉴걸', '버튜버', '마늘빵', '습레기통']",2025-09-22T18:28:17Z,soop,00810000
287734626,[강씨세가] 마친다 / 다이아 쉽지 ㅋ,hani0320,강하나_,29,2025-09-22 18:30:23.0,"['노래', '마인크래프트', '버추얼', '발로란트']",2025-09-22T18:28:17Z,soop,00810000
287737014,마친다 서버 입주 첫날! / 노방종 룰렛 오픈 너네가 뭘 할 수 있는데 ?,rum1021,치포,29,2025-09-22 19:30:57.0,"['소통', '버추얼', '종합게임', '뉴걸', '낮방특공대']",2025-09-22T18:28:17Z,soop,00810000
287740572,[꾸한성] 병원 다녀왔어 ㅠㅠ,hyundana,현단아v,28,2025-09-22 20:52:20.0,"['소통', '버튜버', '무멤', '꾸산당', '꾸한성']",2025-09-22T18:28:17Z,soop,00810000
287738838,9시 마친다 서버 입주~~~~~,nslah830,피치:3,28,2025-09-22 20:10:07.0,"['버츄얼', '버튜버', '버추얼', '신입', '뉴걸']",2025-09-22T18:28:17Z,soop,00810000
287743328,소환사처음가보는얘🩵물멍티콘OGQ오늘출시 많관부🩵,quaorv,쿠아♪,28,2025-09-22 21:59:46.0,"['신입', '뉴걸', '쿠아', '소통', '노래']",2025-09-22T18:28:17Z,soop,00810000
287748362,작업작업작업,shandyhan,섄디한,26,2025-09-23 02:02:05.0,[],2025-09-22T18:28:17Z,soop,00810000
